"Trait","Effect","Estimate","CI_lower","CI_upper","M2_total","M2_exp","M2_phylo","M2_within"
"Size","lnRR",-0.259989592570783,-0.453471689455033,-0.0665074956865335,0.761399943081987,0.084565370690087,0.102700202410953,0.574134369980946
"","lnCVR",0.129241627240534,0.0383248408442904,0.220158413636778,0.931874449172362,0.678665470338372,0.00180200249437334,0.251406976339616
"Developmental Time","lnRR",0.0672144564503956,-0.0338200467532656,0.168248959654057,0.825153390230037,0.14812479228671,0.331924091152243,0.345104506791084
"","lnCVR",0.159144618365609,-0.271492975114902,0.58978221184612,0.920111234086283,0.444168367765905,0.472723925663557,0.00321894065682117
"Reproductive Function","lnRR",-0.344776862743123,-0.531004498893328,-0.158549226592918,0.794035788446512,0.196923133485362,0.0331035863981058,0.564009068563044
"","lnCVR",0.157257561436616,0.0441011539427463,0.270413968930486,0.863602017483718,0.863458062369536,8.51007282675241e-09,0.000143946604109034
"Lifespan","lnRR",-0.017676699073581,-0.109964417865563,0.0746110197184012,0.996849655247967,0.550419125717695,9.34455336305057e-10,0.446430528595817
"","lnCVR",0.160734615838754,-0.00325576035316055,0.324724992030668,0.787956480303383,0.710333227392,0.077044550857314,0.000578702054069897
