"Kingdom","Phylum","Class","Order","Family","Species","n_articles","n_experiments"
"Metazoa","Arthropoda","Insecta","Hemiptera","Anthocoridae","Orius_albidipennis",2,3
"Metazoa","Arthropoda","Insecta","Hemiptera","Anthocoridae","Orius_insidiosus",4,6
"Metazoa","Arthropoda","Insecta","Hemiptera","Anthocoridae","Orius_laevigatus",3,4
"Metazoa","Arthropoda","Insecta","Hemiptera","Anthocoridae","Orius_majusculus",3,6
"Metazoa","Arthropoda","Insecta","Hemiptera","Anthocoridae","Orius_sauteri",1,3
"Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea_edulis",2,3
"Metazoa","Arthropoda","Malacostraca","Decapoda","Grapsidae","Pachygrapsus_crassipes",1,1
"Metazoa","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemonetes_vulgaris",1,1
"Metazoa","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus_herbstii",1,3
"Metazoa",NA,"Echinoidea","Echinoida","Echinidae","Paracentrotus_lividus",3,3
"Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Cyclopettidae","Paracyclopina_nana",2,2
"Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Parapodisma_subastris",1,2
"Metazoa","Arthropoda","Arachnida","Mesostigmata","Parasitidae","Parasitus_bituberosus",1,3
"Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Pardosa_lugubris",1,1
"Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Pardosa_prativaga",1,2
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Parvocalanus_crassirostris",1,2
"Metazoa","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus_aztecus",1,1
"Metazoa","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus_setiferus",1,1
"Metazoa","Chordata","Aves","Galliformes","Phasianidae","Perdix_perdix",1,1
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Diaptomidae","Phyllodiaptomus_blanci",1,3
"Metazoa","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Phytoseius_finitimus",1,3
"Metazoa","Mollusca","Bivalvia","Ostreida","Pteriidae","Pinctada_maxima",1,1
"Metazoa",NA,"Asteroidea","Forcipulatida","Asteriidae","Pisaster_ochraceus",1,1
"Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Podisus_maculiventris",1,1
"Metazoa","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pomacea_canaliculata",1,1
"Metazoa","Arthropoda","Malacostraca","Decapoda","Cambaridae","Procambarus_clarkii",1,1
"Metazoa","Arthropoda","Arachnida","Trombidiformes","Iolinidae","Pronematus_ubiquitus",1,2
"Metazoa","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Proprioseiopsis_mexicanus",1,3
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Pseudocyclopidae","Pseudocyclops_xiphophorus",1,1
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Pseudodiaptomidae","Pseudodiaptomus_hessei",1,1
"Metazoa","Arthropoda","Hexanauplia","Calanoida","Pseudodiaptomidae","Pseudodiaptomus_pelagicus",1,1
"Metazoa","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes_philippinarum",1,1
"Metazoa","Mollusca","Bivalvia","Ostreida","Ostreidae","Saccostrea_glomerata",1,1
"Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Schistocerca_americana",1,2
"Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Schizocosa_stridulans",1,1
"Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymus_interruptus",1,2
"Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymus_subvillosus",1,2
"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Soleidae","Solea_solea",1,1
"Metazoa","Annelida","Polychaeta","Sabellida","Serpulidae","Spirobranchus_cariniferus",1,1
"Metazoa","Mollusca","Bivalvia",NA,"Mactridae","Spisula_solidissima",1,2
"Metazoa","Mollusca","Gastropoda","Littorinimorpha","Strombidae","Strombus_gigas",1,1
"Metazoa",NA,"Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus_droebachiensis",1,2
"Metazoa",NA,"Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus_intermedius",1,1
"Metazoa",NA,"Echinoidea","Echinoida","Strongylocentrotidae","Strongylocentrotus_purpuratus",1,1
"Metazoa","Arthropoda","Insecta","Mantodea","Mantidae","Tenodera_aridifolia_sinensis",1,1
"Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Tisbidae","Tisbe_biminiensis",1,3
"Metazoa",NA,"Echinoidea","Temnopleuroida","Toxopneustidae","Tripneustes_gratilla",1,1
"Metazoa","Mollusca","Gastropoda",NA,"Turbinidae","Turbo_sarmaticus",1,3
